time,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8,opensim_var1,opensim_var2,opensim_var3,opensim_var5,opensim_var4,opensim_var6,opensim_var7,opensim_var8,cardA_var1,cardA_var2,cardA_var3,cardA_var5,cardA_var4,cardA_var6,cardA_var7,cardA_var8,cardB_var1,cardB_var2,cardB_var3,cardB_var5,cardB_var4,cardB_var6,cardB_var7,cardB_var8
0.24167,37.148,0.210,22.631,105.746,9.300,79.352,11.474,-2.635,61.733,-31.065,-47.854,75.337,57.810,-65.426,21.107,-68.874,156.151,180.000,5.817,-16.939,14.292,1.909,7.314,-3.237,156.151,180.000,5.817,-16.939,11.919,1.909,7.314,-3.237
0.24583,37.055,0.282,22.621,105.891,9.274,79.386,11.438,-2.626,62.020,-31.040,-47.903,75.500,57.781,-65.461,21.144,-68.853,156.155,-180.000,5.863,-16.966,14.285,1.921,7.298,-3.235,156.155,-180.000,5.863,-16.966,11.914,1.921,7.298,-3.235
0.25000,36.963,0.356,22.611,106.039,9.254,79.422,11.400,-2.617,62.061,-31.072,-47.954,75.612,57.789,-65.482,21.156,-68.843,156.159,-180.000,5.910,-16.993,14.291,1.929,7.280,-3.228,156.159,-180.000,5.910,-16.993,11.920,1.929,7.280,-3.228
0.25417,36.872,0.429,22.600,106.189,9.239,79.460,11.360,-2.607,62.434,-31.078,-47.982,75.743,57.789,-65.610,21.138,-68.869,156.163,-180.000,5.957,-17.019,14.306,1.931,7.258,-3.217,156.163,-180.000,5.957,-17.019,11.935,1.931,7.258,-3.217
0.25833,36.781,0.503,22.589,106.340,9.226,79.501,11.318,-2.598,62.422,-31.146,-48.041,75.875,57.773,-65.565,21.205,-68.812,156.167,-180.000,6.006,-17.046,14.329,1.930,7.234,-3.203,156.167,-180.000,6.006,-17.046,11.957,1.930,7.234,-3.203
0.26250,36.691,0.577,22.576,106.493,9.215,79.545,11.275,-2.589,62.721,-31.105,-48.105,76.064,57.783,-65.635,21.301,-68.774,156.172,180.000,6.055,-17.072,14.359,1.923,7.207,-3.186,156.172,180.000,6.055,-17.072,11.985,1.923,7.207,-3.186
0.26667,36.599,0.652,22.563,106.649,9.203,79.592,11.230,-2.580,62.861,-31.094,-48.161,76.226,57.771,-65.634,21.276,-68.760,156.176,180.000,6.104,-17.098,14.393,1.913,7.178,-3.168,156.176,180.000,6.104,-17.098,12.017,1.913,7.178,-3.168
0.27083,36.507,0.726,22.549,106.805,9.189,79.642,11.185,-2.572,63.275,-31.056,-48.183,76.374,57.755,-65.645,21.291,-68.768,156.180,-180.000,6.154,-17.123,14.430,1.899,7.146,-3.150,156.180,-180.000,6.154,-17.123,12.051,1.899,7.146,-3.150
0.27500,36.415,0.801,22.534,106.964,9.173,79.696,11.137,-2.564,63.274,-31.191,-48.214,76.472,57.721,-65.639,21.311,-68.787,156.184,180.000,6.204,-17.146,14.468,1.882,7.112,-3.133,156.184,180.000,6.204,-17.146,12.087,1.882,7.112,-3.133
0.27917,36.322,0.876,22.519,107.123,9.154,79.752,11.089,-2.556,63.533,-31.184,-48.244,76.618,57.783,-65.784,21.470,-68.719,156.187,-180.000,6.255,-17.167,14.505,1.863,7.075,-3.117,156.187,-180.000,6.255,-17.167,12.122,1.863,7.075,-3.117
0.28333,36.229,0.951,22.503,107.284,9.133,79.812,11.040,-2.550,63.667,-31.186,-48.300,76.766,57.718,-65.732,21.461,-68.750,156.189,-180.000,6.307,-17.184,14.540,1.841,7.037,-3.103,156.189,-180.000,6.307,-17.184,12.155,1.841,7.037,-3.103
0.28750,36.136,1.027,22.486,107.446,9.108,79.875,10.990,-2.544,63.859,-31.181,-48.352,76.920,57.721,-65.812,21.450,-68.724,156.190,-180.000,6.359,-17.195,14.572,1.818,6.996,-3.092,156.190,-180.000,6.359,-17.195,12.184,1.818,6.996,-3.092
0.29167,36.045,1.103,22.468,107.608,9.080,79.941,10.938,-2.540,64.050,-31.182,-48.403,77.085,57.648,-65.797,21.386,-68.791,156.191,180.000,6.413,-17.198,14.599,1.795,6.953,-3.084,156.191,180.000,6.413,-17.198,12.210,1.795,6.953,-3.084
0.29583,35.956,1.180,22.450,107.770,9.051,80.010,10.886,-2.536,64.297,-31.084,-48.487,77.310,57.700,-65.901,21.535,-68.690,156.190,-180.000,6.467,-17.191,14.620,1.772,6.908,-3.080,156.190,-180.000,6.467,-17.191,12.231,1.772,6.908,-3.080
0.30000,35.870,1.259,22.431,107.932,9.020,80.081,10.832,-2.534,64.775,-31.116,-48.454,77.418,57.687,-65.963,21.590,-68.689,156.189,-180.000,6.524,-17.171,14.635,1.749,6.861,-3.080,156.189,-180.000,6.524,-17.171,12.247,1.749,6.861,-3.080
0.30417,35.789,1.340,22.412,108.094,8.990,80.155,10.778,-2.534,65.285,-31.008,-48.513,77.633,57.644,-66.000,21.653,-68.674,156.186,-180.000,6.583,-17.135,14.643,1.728,6.812,-3.085,156.186,-180.000,6.583,-17.135,12.256,1.728,6.812,-3.085
0.30833,35.713,1.422,22.393,108.256,8.959,80.230,10.723,-2.534,64.956,-31.201,-48.578,77.727,57.653,-66.088,21.676,-68.683,156.183,-180.000,6.644,-17.079,14.644,1.709,6.761,-3.095,156.183,-180.000,6.644,-17.079,12.260,1.709,6.761,-3.095
0.31250,35.645,1.508,22.375,108.416,8.929,80.308,10.667,-2.535,65.263,-31.107,-48.636,77.953,57.646,-66.153,21.742,-68.662,156.178,180.000,6.709,-17.000,14.637,1.692,6.708,-3.110,156.178,180.000,6.709,-17.000,12.256,1.692,6.708,-3.110
0.31667,35.583,1.596,22.357,108.575,8.900,80.386,10.610,-2.538,65.245,-31.186,-48.681,78.083,57.626,-66.215,21.778,-68.661,156.173,180.000,6.776,-16.895,14.623,1.678,6.654,-3.130,156.173,180.000,6.776,-16.895,12.247,1.678,6.654,-3.130
0.32083,35.530,1.688,22.340,108.732,8.873,80.465,10.553,-2.540,65.798,-31.135,-48.693,78.281,57.611,-66.265,21.808,-68.635,156.166,180.000,6.848,-16.760,14.601,1.666,6.597,-3.155,156.166,180.000,6.848,-16.760,12.230,1.666,6.597,-3.155
0.32500,35.486,1.784,22.325,108.887,8.848,80.545,10.496,-2.544,65.630,-31.200,-48.781,78.460,57.612,-66.321,21.869,-68.611,156.158,-180.000,6.924,-16.593,14.572,1.658,6.539,-3.185,156.158,-180.000,6.924,-16.593,12.207,1.658,6.539,-3.185
0.32917,35.452,1.884,22.312,109.040,8.824,80.625,10.438,-2.547,65.786,-31.245,-48.820,78.645,57.526,-66.386,21.938,-68.655,156.150,180.000,7.004,-16.392,14.535,1.653,6.479,-3.220,156.150,180.000,7.004,-16.392,12.177,1.653,6.479,-3.220
0.33333,35.427,1.989,22.301,109.190,8.801,80.704,10.380,-2.549,65.995,-31.295,-48.848,78.834,57.534,-66.444,21.983,-68.625,156.140,180.000,7.090,-16.154,14.491,1.651,6.418,-3.258,156.140,180.000,7.090,-16.154,12.140,1.651,6.418,-3.258
0.33750,35.411,2.100,22.292,109.337,8.779,80.784,10.322,-2.551,66.191,-31.326,-48.888,79.037,57.492,-66.511,22.019,-68.637,156.129,180.000,7.181,-15.879,14.439,1.652,6.355,-3.301,156.129,180.000,7.181,-15.879,12.097,1.652,6.355,-3.301
0.34167,35.403,2.217,22.287,109.481,8.758,80.863,10.265,-2.553,66.588,-31.239,-48.976,79.333,57.496,-66.585,22.083,-68.609,156.118,180.000,7.279,-15.569,14.381,1.656,6.292,-3.346,156.118,180.000,7.279,-15.569,12.048,1.656,6.292,-3.346
0.34583,35.404,2.340,22.284,109.622,8.736,80.941,10.208,-2.553,66.655,-31.436,-48.969,79.459,57.481,-66.613,22.115,-68.577,156.106,-180.000,7.382,-15.225,14.317,1.664,6.228,-3.395,156.106,-180.000,7.382,-15.225,11.993,1.664,6.228,-3.395
0.35000,35.411,2.471,22.285,109.759,8.713,81.018,10.151,-2.552,66.770,-31.431,-49.051,79.701,57.487,-66.697,22.372,-68.534,156.093,-180.000,7.493,-14.849,14.247,1.674,6.163,-3.446,156.093,-180.000,7.493,-14.849,11.932,1.674,6.163,-3.446
